irunuu_r_riyampattonn'	iru|nuu_r_ri|yam|patt|onn'	+2|*100|+5|*10|+1
munnuu_r_riyanpattiyonn'	mun|nuu_r_ri|yan|patti|yonn'	+3|*100|+5|*10|+1
a_ranuu_r_rempattonn'	a_ra|nuu_r_r|em|patt|onn'	+6|*100|+8|*10|+1
naanuu_r_riyempattonn'	naa|nuu_r_ri|yem|patt|onn'	+4|*100|+8|*10|+1
naalpattonn'	naal|patt|onn'	+4|*10|+1
a_ranuu_r_riya_rupattiyonn'	a_ra|nuu_r_ri|ya_ru|patti|yonn'	+6|*100|+6|*10|+1
munnuu_r_rinaalpattonn'	mun|nuu_r_ri|naal|patt|onn'	+3|*100|+4|*10|+1
naanuu_r_rimuppattonn'	naa|nuu_r_ri|mu|ppatt|onn'	+4|*100|+3|*10|+1
a~n~nuu_r_rimuppattonn'	a~n|~nuu_r_ri|mu|ppatt|onn'	+5|*100|+3|*10|+1
munnuu_r_re_lupattonn'	mun|nuu_r_r|e_lu|patt|onn'	+3|*100|+7|*10|+1
naanuu_r_ronn'	naa|nuu_r_r|onn'	+4|*100|+1
e_lunuu_r_riyempattiyonn'	e_lu|nuu_r_ri|yem|patti|yonn'	+7|*100|+8|*10|+1
e.n.nuu_r_rirupattiyonn'	e.n|.nuu_r_r|iru|patti|yonn'	+8|*100|+2|*10|+1
naanuu_r_rnaappattonn'	naa|nuu_r_r|naa|ppatt|onn'	+4|*100|+4|*10|+1
empattiyonn'	em|patti|yonn'	+8|*10|+1
nuu_r_rempattonn'	nuu_r_r|em|patt|onn'	+1&*100|+8|*10|+1
e.n.nuu_r_riya_rupattonn'	e.n|.nuu_r_ri|ya_ru|patt|onn'	+8|*100|+6|*10|+1
e_lunuu_r_ritto.n.nuu_r_ronn'	e_lu|nuu_r_ri|tto.n.nuu_r_r|onn'	+7|*100|+9&*10|+1
e.n.nuu_r_rto.n.nuu_r_ronn'	e.n|.nuu_r_r|to.n.nuu_r_r|onn'	+8|*100|+9&*10|+1
e.n.nuu_r_rinaappattonn'	e.n|.nuu_r_ri|naa|ppatt|onn'	+8|*100|+4|*10|+1
a_ranuu_r_ranpattiyonn'	a_ra|nuu_r_r|an|patti|yonn'	+6|*100|+5|*10|+1
a~n~nuu_r_rampattonn'	a~n|~nuu_r_r|am|patt|onn'	+5|*100|+5|*10|+1
naanuu_r_rnaappattiyonn'	naa|nuu_r_r|naa|ppatti|yonn'	+4|*100|+4|*10|+1
naanuu_r_re.npattiyonn'	naa|nuu_r_r|e.n|patti|yonn'	+4|*100|+8|*10|+1
munnuu_r_rampattonn'	mun|nuu_r_r|am|patt|onn'	+3|*100|+5|*10|+1
ampattiyonn'	am|patti|yonn'	+5|*10|+1
munnuu_r_rnaappattonn'	mun|nuu_r_r|naa|ppatt|onn'	+3|*100|+4|*10|+1
nuu_r_re.npattonn'	nuu_r_r|e.n|patt|onn'	+1&*100|+8|*10|+1
e_lunuu_r_riyempattonn'	e_lu|nuu_r_ri|yem|patt|onn'	+7|*100|+8|*10|+1
nuu_r_riye.npattiyonn'	nuu_r_ri|ye.n|patti|yonn'	+1&*100|+8|*10|+1
naanuu_r_rirupattiyonn'	naa|nuu_r_r|iru|patti|yonn'	+4|*100|+2|*10|+1
munnuu_r_rmuppattonn'	mun|nuu_r_r|mu|ppatt|onn'	+3|*100|+3|*10|+1
irunuu_r_rinaalpattiyonn'	iru|nuu_r_ri|naal|patti|yonn'	+2|*100|+4|*10|+1
irunuu_r_ranpattiyonn'	iru|nuu_r_r|an|patti|yonn'	+2|*100|+5|*10|+1
e_lunuu_r_rnaalpattiyonn'	e_lu|nuu_r_r|naal|patti|yonn'	+7|*100|+4|*10|+1
munnuu_r_rimuppattonn'	mun|nuu_r_ri|mu|ppatt|onn'	+3|*100|+3|*10|+1
a_ranuu_r_ra_rupattiyonn'	a_ra|nuu_r_r|a_ru|patti|yonn'	+6|*100|+6|*10|+1
e_lunuu_r_ranpattonn'	e_lu|nuu_r_r|an|patt|onn'	+7|*100|+5|*10|+1
naanuu_r_rinaappattonn'	naa|nuu_r_ri|naa|ppatt|onn'	+4|*100|+4|*10|+1
e.n.nuu_r_riyempattonn'	e.n|.nuu_r_ri|yem|patt|onn'	+8|*100|+8|*10|+1
nuu_r_riyirupattiyonn'	nuu_r_ri|yiru|patti|yonn'	+1&*100|+2|*10|+1
nuu_r_riya_rupattiyonn'	nuu_r_ri|ya_ru|patti|yonn'	+1&*100|+6|*10|+1
e.npattonn'	e.n|patt|onn'	+8|*10|+1
e_lunuu_r_ranpattiyonn'	e_lu|nuu_r_r|an|patti|yonn'	+7|*100|+5|*10|+1
nuu_r_rmuppattonn'	nuu_r_r|mu|ppatt|onn'	+1&*100|+3|*10|+1
nuu_r_ritto.n.nuu_r_ronn'	nuu_r_ri|tto.n.nuu_r_r|onn'	+1&*100|+9&*10|+1
irunuu_r_riyempattonn'	iru|nuu_r_ri|yem|patt|onn'	+2|*100|+8|*10|+1
muppattonn'	mu|ppatt|onn'	+3|*10|+1
e_lupattonn'	e_lu|patt|onn'	+7|*10|+1
a_ranuu_r_riyempattonn'	a_ra|nuu_r_ri|yem|patt|onn'	+6|*100|+8|*10|+1
irunuu_r_rempattonn'	iru|nuu_r_r|em|patt|onn'	+2|*100|+8|*10|+1
munnuu_r_rirupattonn'	mun|nuu_r_r|iru|patt|onn'	+3|*100|+2|*10|+1
naanuu_r_rnaalpattonn'	naa|nuu_r_r|naal|patt|onn'	+4|*100|+4|*10|+1
a~n~nuu_r_rinaalpattiyonn'	a~n|~nuu_r_ri|naal|patti|yonn'	+5|*100|+4|*10|+1
e_lunuu_r_rinaalpattiyonn'	e_lu|nuu_r_ri|naal|patti|yonn'	+7|*100|+4|*10|+1
munnuu_r_ronn'	mun|nuu_r_r|onn'	+3|*100|+1
munnuu_r_riya_rupattonn'	mun|nuu_r_ri|ya_ru|patt|onn'	+3|*100|+6|*10|+1
a~n~nuu_r_riyirupattonn'	a~n|~nuu_r_ri|yiru|patt|onn'	+5|*100|+2|*10|+1
munnuu_r_riyonn'	mun|nuu_r_ri|yonn'	+3|*100|+1
e_lunuu_r_rnaappattonn'	e_lu|nuu_r_r|naa|ppatt|onn'	+7|*100|+4|*10|+1
nuu_r_rto.n.nuu_r_ronn'	nuu_r_r|to.n.nuu_r_r|onn'	+1&*100|+9&*10|+1
munnuu_r_rinaappattiyonn'	mun|nuu_r_ri|naa|ppatti|yonn'	+3|*100|+4|*10|+1
a~n~nuu_r_riyampattonn'	a~n|~nuu_r_ri|yam|patt|onn'	+5|*100|+5|*10|+1
a_ranuu_r_ranpattonn'	a_ra|nuu_r_r|an|patt|onn'	+6|*100|+5|*10|+1
naanuu_r_riya_rupattonn'	naa|nuu_r_ri|ya_ru|patt|onn'	+4|*100|+6|*10|+1
naanuu_r_riyampattonn'	naa|nuu_r_ri|yam|patt|onn'	+4|*100|+5|*10|+1
